ID,Associated_fire,Type,Fire_Year,ndvi,ndwi,Measurement_year,yrs_post_fire
INIAKUK LAKE,INIAKUK LAKE,Fire,2016,0.324857261,-0.23398501,2016,0
HOGATZA RIVER,HOGATZA RIVER,Fire,2016,0.282311807,-0.18528513,2016,0
HOG,HOG,Fire,2016,0.314426969,-0.218375386,2016,0
CHALKYITSIK COMPLEX,CHALKYITSIK COMPLEX,Fire,2019,0.478753903,-0.324039128,2016,-3
SUNSHINE MOUNTAINS,SUNSHINE MOUNTAIN,Fire,2019,0.499439667,-0.380559117,2016,-3
MUNSON CREEK,MUNSON CREEK,Fire,2021,0.490665845,-0.353141209,2016,-5
PAIGE MOUNTAIN,PAIGE MOUNTAIN,Fire,2019,0.52545391,-0.384860685,2016,-3
HURST CREEK,HURST CREEK,Fire,2019,0.47399936,-0.37415632,2016,-3
OLD GROUCH TOP,OLD GROUCH TOP,Fire,2019,0.486606019,-0.378108413,2016,-3
VICTORIA MOUNTAIN,VICTORIA MOUNTAIN,Fire,2019,0.492221293,-0.38071525,2016,-3
LITTLE MUD RIVER,LITTLE MUD RIVER,Fire,2019,0.487348363,-0.3271226,2016,-3
1,CHALKYITSIK COMPLEX,Beaver,2019,0.557025695,-0.406731804,2016,-3
6,VICTORIA MOUNTAIN,Beaver,2019,0.495274119,-0.351975758,2016,-3
7,VICTORIA MOUNTAIN,Beaver,2019,0.3981423,-0.236729306,2016,-3
8,HOG,Beaver,2016,0.277248409,-0.171791041,2016,0
25,HOGATZA RIVER,Beaver,2016,0.262144477,-0.212046523,2016,0
27,HOGATZA RIVER,Beaver,2016,0.329890368,-0.256611524,2016,0
29,HOGATZA RIVER,Beaver,2016,0.281003255,-0.197871561,2016,0
30,HOGATZA RIVER,Beaver,2016,0.27576231,-0.208842667,2016,0
31,HOGATZA RIVER,Beaver,2016,0.294958035,-0.222922091,2016,0
32,HOGATZA RIVER,Beaver,2016,0.311117345,-0.235534619,2016,0
33,HOGATZA RIVER,Beaver,2016,0.311873182,-0.227060483,2016,0
34,HOGATZA RIVER,Beaver,2016,0.309267388,-0.225108579,2016,0
36,HOGATZA RIVER,Beaver,2016,0.384231387,-0.280753523,2016,0
37,HOGATZA RIVER,Beaver,2016,0.381527477,-0.269080531,2016,0
38,HOGATZA RIVER,Beaver,2016,0.37435579,-0.260501697,2016,0
39,HOGATZA RIVER,Beaver,2016,0.38006625,-0.26142907,2016,0
