system:index,2016_06_04_ndvi,2016_06_04_ndwi,2016_06_11_ndvi,2016_06_11_ndwi,2016_06_18_ndvi,2016_06_18_ndwi,2016_06_24_ndvi,2016_06_24_ndwi,2016_07_01_ndvi,2016_07_01_ndwi,2016_07_08_ndvi,2016_07_08_ndwi,2016_07_14_ndvi,2016_07_14_ndwi,2016_07_21_ndvi,2016_07_21_ndwi,2016_07_28_ndvi,2016_07_28_ndwi,2016_08_03_ndvi,2016_08_03_ndwi,2016_08_10_ndvi,2016_08_10_ndwi,2016_08_17_ndvi,2016_08_17_ndwi,2016_08_23_ndvi,2016_08_23_ndwi,2016_08_30_ndvi,2016_08_30_ndwi,BUFF_DIST,Beaver_P_1,Beaver_P_2,Beaver_P_3,Beaver_P_4,Beaver_P_5,Beaver_P_6,Beaver_Pon,Control_Po,ORIG_FID,Shape_Area,Shape_Leng,.geo
00000000000000000007,0.18913566130912524,-0.1381342952254805,,,,,0.679465623027039,-0.5121557855881481,,,,,0.07968885401111662,-0.02711948880055838,,,,,,,,,-0.028242517599001444,-0.04341198926623971,,,0.19594987779989248,-0.09788070342688975,30.0,HOG,2016.0,1467788400000,8.0,Y,,11,8.0,8,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.76459035401098,66.64027671831124],[-153.76457967356706,66.64023204269414],[-153.76454644221926,66.64019177525655],[-153.7645021746565,66.64015149394544],[-153.76444657792825,66.64011566790057],[-153.76436861574334,66.6400842832241],[-153.76427950971416,66.64005738700908],[-153.7641902954467,66.64003941643207],[-153.764078638082,66.64002135149916],[-153.76397817147742,66.64001679495838],[-153.76386648255166,66.64001661447504],[-153.76375468575847,66.64002093628592],[-153.76365400116796,66.64003865417892],[-153.76356435272248,66.64005638594428],[-153.76347478079205,66.6400830765817],[-153.7633962442158,66.64011420442388],[-153.76334014999998,66.64014984995069],[-153.76328394773262,66.64018999784477],[-153.763261146931,66.64023014180863],[-153.76323842347583,66.64027482140752],[-153.7632492096053,66.64031499471234],[-153.76327110966483,66.64035971763553],[-153.763304339486,66.6403999853888],[-153.7633599355966,66.64043581193289],[-153.76342656836317,66.64047165242478],[-153.7635158606484,66.64049858250469],[-153.76360486069052,66.640525558373],[-153.7637054061538,66.64053907418374],[-153.76380565928142,66.64055263576418],[-153.7639175351583,66.64055727288766],[-153.76402933413056,66.6405529509667],[-153.76413001957994,66.6405396560945],[-153.7642305977974,66.64052644023263],[-153.764320170104,66.64049974905569],[-153.76439870573074,66.64047304393446],[-153.76447716413628,66.64043737981703],[-153.76452222064162,66.6404017198874],[-153.76456727760302,66.64036163663634],[-153.76458999869317,66.64031695676137],[-153.76459035401098,66.64027671831124]]]}"
00000000000000000008,0.1081261518441463,-0.11197189088960824,0.3736178232010366,-0.3007634120957599,,,0.6703747820001007,-0.5122249549096036,,,,,0.08319307574266452,-0.028768520076066853,,,,,,,,,0.057169476690448806,-0.0773656028491071,,,0.2036563032604618,-0.09537567125143216,30.0,HOG,2016.0,1467788400000,9.0,M,Poor imagery,12,9.0,9,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.76446121945483,66.63971360152281],[-153.76445053957076,66.6396689259778],[-153.76441730922363,66.63962865858996],[-153.76437293581577,66.63958845641002],[-153.76430630444867,66.63955261650848],[-153.7642394872917,66.63952116663268],[-153.76415038333695,66.63949427040767],[-153.76404994972037,66.63947625265655],[-153.7639495937129,66.63946277045741],[-153.76383783037747,66.63945363106788],[-153.76373736516004,66.63945349767896],[-153.76362556992228,66.63946224270333],[-153.76352488807603,66.63947553720666],[-153.76342420528476,66.63949325492491],[-153.76334567113278,66.63951995941514],[-153.76326713597322,66.63955108715159],[-153.76319989943883,66.63958679768939],[-153.76315484128088,66.63962688036594],[-153.7631208973886,66.63966708934711],[-153.76310931734403,66.63971170374931],[-153.7631201803244,66.63975641261801],[-153.76314218751256,66.63979663309283],[-153.7631752310294,66.63983686755186],[-153.7632307177996,66.63987719645397],[-153.76329764210456,66.63990856778437],[-153.76337541753813,66.63993991980777],[-153.7634757449758,66.63996244050814],[-153.76356514408738,66.63998044479871],[-153.76367672444908,66.63998955122489],[-153.7637884126347,66.63999415516867],[-153.76388898770153,66.63998978616199],[-153.7640007849554,66.63998104093343],[-153.76410146892636,66.63996332277034],[-153.76419122420054,66.63994108824271],[-153.76426957372794,66.63990992667516],[-153.7643368868303,66.63987875117715],[-153.76439308657868,66.63983860283396],[-153.76443814289422,66.63979851968288],[-153.76446075615058,66.63975834228974],[-153.76446121945483,66.63971360152281]]]}"
00000000000000000009,0.26355720601497834,-0.17679930142414962,0.5716999987014656,-0.4278704575305075,,,0.7120976972482574,-0.5415044237324153,,,,,0.064051152688337,-0.01861958544574682,,,,,,,,,0.15570794722557735,-0.09472703594403513,,,0.26829467680394237,-0.16582516729653388,30.0,HOG,2016.0,1467788400000,10.0,M,Poor imagery,13,10.0,10,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.76566167919773,66.6378970533795],[-153.76563977785017,66.63785233115408],[-153.76561776906195,66.63781211129826],[-153.7655733192558,66.63777179743288],[-153.76550669155853,66.63773595838293],[-153.76542873595,66.63770457465162],[-153.7653506729338,66.6376776932432],[-153.76525035380095,66.63765517424244],[-153.76515000487183,66.63764169313463],[-153.76503843437257,66.63763701144681],[-153.76492664914068,66.63763691111484],[-153.76482600556312,66.63764116869997],[-153.76472533183343,66.63765446417082],[-153.7646245496291,66.63767668519634],[-153.76453498713303,66.6377033765112],[-153.76445645906014,66.6377345048971],[-153.76440037131943,66.6377701507249],[-153.76435521100802,66.637810312761],[-153.76432137827098,66.63785044281089],[-153.76430969371825,66.63789513620856],[-153.7643094446369,66.63793529527565],[-153.76433134392428,66.63798001769956],[-153.76437579246263,66.63802033198624],[-153.7644201635713,66.6380561106574],[-153.76449801172674,66.63809199738415],[-153.76457607547042,66.63811887933875],[-153.7646651754226,66.63814135181848],[-153.7647656039148,66.6381593689529],[-153.76487717560912,66.63817289747317],[-153.76497763534857,66.6381730299122],[-153.7650895010781,66.63817324256725],[-153.7651901764226,66.6381599468248],[-153.7652908521219,66.63814222772378],[-153.76539163519448,66.63812000617489],[-153.76546987007367,66.63809334632263],[-153.76553728444958,66.63805766791431],[-153.76559355619665,66.638022054796],[-153.76562749402848,66.63798184528102],[-153.76565010452313,66.6379372445704],[-153.76566167919773,66.6378970533795]]]}"
0000000000000000000a,0.29815095939401,-0.11581035670539766,0.38821216400704983,-0.3546384768450886,,,0.700974416700045,-0.5298917065601195,,,0.24999756281700228,-0.22499301462035626,0.031370717528665285,0.0038298359718134055,,,,,0.06849199205289681,-0.0696656389825854,,,0.03618446518081579,-0.07449498606009777,,,0.21564146340442655,-0.13463855021903154,30.0,HOG,2016.0,1467788400000,11.0,M,Poor imagery,14,11.0,11,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.75431376058444,66.64600719920948],[-153.75430309374704,66.64596252222753],[-153.7542698683187,66.64592225163074],[-153.7542254965768,66.64588204533922],[-153.7541698981185,66.64584621435623],[-153.7540919265541,66.6458148229627],[-153.75400291363272,66.64578784008864],[-153.75390245970812,66.645765390613],[-153.75380200130155,66.6457517877659],[-153.75370150937465,66.64574722296442],[-153.75358979049633,66.64574703335141],[-153.75347796206108,66.64575134607337],[-153.75337724625118,66.64576463258341],[-153.7532765255044,66.64578676571443],[-153.753197958945,66.6458134641784],[-153.75311957512326,66.64584461920472],[-153.75305212085755,66.64588029148767],[-153.75300692801747,66.64592045010305],[-153.75298429162558,66.64596062590552],[-153.75296146738134,66.6460051917996],[-153.7529723197952,66.64604547876817],[-153.75299420924574,66.64609020397367],[-153.75302743314637,66.64613047488609],[-153.75308284564002,66.64616627310849],[-153.75314977558546,66.6462020736204],[-153.7532275646226,66.64622900899512],[-153.75332802012213,66.64625145903716],[-153.75342847810737,66.64626948565],[-153.75352893852593,66.64628308883212],[-153.75364065973685,66.6462832785331],[-153.75374115606684,66.64628342006306],[-153.75385309830594,66.64627018134894],[-153.75395381784045,66.64625247112275],[-153.754043421798,66.64623021032978],[-153.75412198838325,66.64620351133264],[-153.754189334488,66.64616791753663],[-153.75424556279876,66.64613219659415],[-153.75429064665428,66.64609211658387],[-153.75431339033034,66.6460474380737],[-153.75431376058444,66.64600719920948]]]}"
0000000000000000000b,0.24459938859875655,-0.07474698800874681,0.47404633355059295,-0.3854563052943368,,,0.6811651942866283,-0.5184091683300364,,,0.2823186865236794,-0.21300156092106412,0.02878447207258888,0.00903317209899751,,,,,0.06303256959195787,-0.05193626164298813,,,0.02777967794347017,-0.06716510012570157,,,0.21757626333089045,-0.11855200304451322,30.0,HOG,2016.0,1467788400000,12.0,M,Poor imagery,15,12.0,12,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.75936883552984,66.64808317634035],[-153.75935797363914,66.64803846609112],[-153.75932473815797,66.64799819635965],[-153.75928046288155,66.64795791226365],[-153.7592137070098,66.6479221477382],[-153.7591357247121,66.64789075895268],[-153.75905774120855,66.64786379351939],[-153.75895727571998,66.64784577097046],[-153.7588569956846,66.64782778159996],[-153.75874527198832,66.6478231728411],[-153.7586333614698,66.64782295412635],[-153.7585327529075,66.64782731872266],[-153.75843203270466,66.64784503249825],[-153.75833131231815,66.64786274619541],[-153.75824170688378,66.64788943338371],[-153.75816313965132,66.64792055835827],[-153.75810691418553,66.64795628119336],[-153.7580618341301,66.64799636277912],[-153.75802787216193,66.64803657115928],[-153.75801646643822,66.6480812192909],[-153.75801591690035,66.64812142525106],[-153.75803781665974,66.64816615005633],[-153.75808238316108,66.64820638874059],[-153.75813780603553,66.64824218522972],[-153.75820463987273,66.64827806266406],[-153.7582826240991,66.64830502864305],[-153.75837175569998,66.6483319299379],[-153.75847233156875,66.64834545050148],[-153.75858384047046,66.64835906450004],[-153.75868434106744,66.64836362577125],[-153.75879617705465,66.648359308743],[-153.75889679026727,66.64834609717195],[-153.75899769582455,66.64833283968932],[-153.75909852705774,66.64830619959449],[-153.75917690722866,66.64827946417168],[-153.75924424984598,66.64824386753764],[-153.75930047402284,66.64820814417011],[-153.75933432688535,66.64816801449868],[-153.7593572481182,66.6481233679818],[-153.75936883552984,66.64808317634035]]]}"
0000000000000000000c,0.46978727259265274,-0.34264750849349845,0.2940295725849169,-0.11628073196110339,,,0.7023774380442185,-0.5299529576371879,,,,,0.006163498845925363,0.016900444080636862,,,,,0.062083605905504664,-0.0763137622474636,,,0.08260103404743299,-0.09329532633914651,,,0.3101184422554857,-0.22453256471965927,30.0,HOG,2016.0,1467788400000,13.0,M,Poor imagery,16,13.0,13,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.75190945872845,66.6533351868673],[-153.75189878893318,66.65329493217259],[-153.7518655586336,66.65325023655022],[-153.75182128344707,66.65320994934672],[-153.75176567082298,66.65317411636666],[-153.75168786367237,66.65314275582233],[-153.7515985311707,66.65312023963291],[-153.75149804913082,66.6530977874154],[-153.7513977474798,66.65308421527145],[-153.75129715073177,66.6530751123099],[-153.75118529196314,66.65307499923578],[-153.75107342789147,66.65308373294728],[-153.75097268177467,66.65309701744263],[-153.75087193019584,66.65311914874034],[-153.75079352709233,66.65314145579174],[-153.75071493306845,66.65317257641242],[-153.75064756410828,66.65320816881595],[-153.7506023556519,66.6532483272285],[-153.75057960036986,66.65329300586166],[-153.75055695489988,66.65333318197413],[-153.75056762000764,66.65337786019333],[-153.75058962310334,66.65341808429085],[-153.7506227444819,66.65346285930676],[-153.75067835649693,66.6534986927868],[-153.750745121212,66.65353003884296],[-153.7508231141854,66.65356143324702],[-153.7509235978011,66.65358388603089],[-153.75102389876574,66.65360188203063],[-153.7511244976061,66.6536109852461],[-153.75123614177218,66.65361568001538],[-153.75133677729445,66.65361132130252],[-153.75144864338515,66.65360258738693],[-153.75154950066604,66.65358480000478],[-153.75163921042855,66.65356265313326],[-153.75171761872744,66.65353149866102],[-153.75179631938752,66.65350029832494],[-153.75184123108082,66.65346460871385],[-153.7518864401744,66.65342002637776],[-153.7519090835094,66.65337984999476],[-153.75190945872845,66.6533351868673]]]}"
0000000000000000000d,0.331274490184685,-0.23603651135387288,0.24293133474259898,-0.05160068887185504,,,0.6583432452776461,-0.4903777133969607,,,,,0.03953569047812169,-0.011413992592138666,,,,,0.12699433929911225,-0.11089117831369846,,,0.034396302019842076,-0.08171867443676582,,,0.3452527135159037,-0.2636609408409477,30.0,HOG,2016.0,1467788400000,14.0,M,Poor imagery,17,14.0,14,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.7490915578009,66.6546042811068],[-153.74908089440194,66.65455960263556],[-153.7490589994963,66.6545192990913],[-153.7490033898847,66.65447904136352],[-153.74894777748125,66.65444320707245],[-153.74886996871456,66.65441184473343],[-153.74878063596046,66.65438490306029],[-153.74869148275718,66.6543668415012],[-153.7485908836761,66.65435331291853],[-153.7484792384482,66.65434419239804],[-153.74836747993547,66.6543439977612],[-153.74826672941907,66.65435285668337],[-153.74815474709766,66.65436609036811],[-153.7480653259051,66.65438376556503],[-153.74797568392634,66.65441044575347],[-153.74789697463981,66.65444164377053],[-153.74784082650953,66.6544772833898],[-153.74779561114818,66.65451744088666],[-153.74776173153901,66.65455756793865],[-153.7477501989157,66.65460229480678],[-153.74774963138375,66.65464692471085],[-153.7477716317214,66.65468714938193],[-153.7478048609043,66.65472742269756],[-153.7478603623598,66.65476776001903],[-153.74792712800652,66.65479910762454],[-153.74801616600277,66.65483051918379],[-153.74810561015693,66.65485295889114],[-153.74820591550454,66.65487095715717],[-153.74830651965817,66.65488006262684],[-153.74841827746735,66.65488468080898],[-153.7485300412947,66.65488045198167],[-153.7486306864262,66.65487167195158],[-153.74873155179367,66.65485388677274],[-153.7488212693975,66.65483174184769],[-153.7489110216965,66.65480055852227],[-153.74897839450557,66.65476939039856],[-153.74903465148412,66.65472924771258],[-153.74906852911892,66.65468912028452],[-153.7490911779793,66.65464894431997],[-153.7490915578009,66.6546042811068]]]}"
0000000000000000000e,0.3093242011758829,-0.19601521402315142,0.48993295369869416,-0.3730435710573228,,,0.64174846074695,-0.48450617090939,,,,,0.0496330695731564,2.3092376836180358E-4,,,,,0.05881431767773848,-0.06311727203803907,,,0.03366692351683631,-0.05625344664683885,,,0.11142608349294075,-0.015647976302028195,30.0,HOG,2016.0,1467788400000,15.0,M,Poor imagery,24,15.0,15,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.77242786630717,66.6383978599058],[-153.7724169886671,66.63835315174947],[-153.77238393447107,66.63831291960274],[-153.77233936762428,66.63827268688637],[-153.77227273138843,66.6382368510515],[-153.77219476855436,66.6382054711405],[-153.7721168065392,66.6381785144879],[-153.772016376384,66.638160502896],[-153.77191602519153,66.63814702685505],[-153.77180426898076,66.63813789432852],[-153.771692592203,66.63813772062943],[-153.77159202984663,66.6381465190194],[-153.77149136087615,66.6381598197229],[-153.77139069228764,66.638177543645],[-153.77130095264104,66.63820420646496],[-153.7712226190299,66.63823537228072],[-153.771166249007,66.63827106704198],[-153.77112139214626,66.63831118575425],[-153.7710874633121,66.63835139685499],[-153.7710758976731,66.6383960120056],[-153.7710755525548,66.63844067370229],[-153.7710975698494,66.63848089285878],[-153.7711418430865,66.63852117185864],[-153.7711973370565,66.63856149738278],[-153.7712640795662,66.63859283139186],[-153.77134204283735,66.6386242118927],[-153.77143133285097,66.63864671316487],[-153.77153176479484,66.63866472525363],[-153.77164333803827,66.63867382482803],[-153.77174379712577,66.63867837542436],[-153.7718555826229,66.63867404671676],[-153.77195633207998,66.63866528137336],[-153.7720570018602,66.63864755701496],[-153.77215777783204,66.63862533017812],[-153.7722361110948,66.63859416376866],[-153.77230340890276,66.63856298410718],[-153.77235977694426,66.63852286550774],[-153.772393596756,66.63848273312554],[-153.77241619598198,66.63844255431158],[-153.77242786630717,66.6383978599058]]]}"
0000000000000000000f,,,,,,,0.5977646973936497,-0.4786958686912052,,,,,0.063629247373968,0.13041786555865043,,,,,0.14096935628102147,-0.10316817298567328,,,,,,,0.10219442842102044,-0.04255963475245081,30.0,HOG,2016.0,1467788400000,16.0,M,Poor imagery,25,16.0,16,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.92025719985446,66.62889378436118],[-153.92023505864697,66.62884908523968],[-153.9202128366542,66.62880888889597],[-153.92016819742062,66.62876862507144],[-153.92010143071707,66.62873286256534],[-153.92002318935997,66.62870153602655],[-153.9199340291889,66.62867474450528],[-153.91984462849868,66.62865684622591],[-153.91974423008818,66.6286433706856],[-153.91963254213695,66.62863436405398],[-153.91952079870785,66.62863428364784],[-153.9194203936128,66.6286431962958],[-153.91931972209173,66.62865657861062],[-153.91921907586442,66.62867438439638],[-153.91912987427634,66.62870110405849],[-153.91905150832582,66.6287324064613],[-153.91899550620994,66.62876808780901],[-153.91895073807027,66.62880822653162],[-153.9189170720588,66.62884847831167],[-153.91890577009758,66.62889310909637],[-153.91890567690297,66.62893777373732],[-153.9189278971494,66.62897797028786],[-153.9189725351262,66.62901823453491],[-153.91901698795218,66.6290584657485],[-153.91909504431112,66.62908975989308],[-153.9191731008331,66.62912105399712],[-153.9192624219536,66.62914345555214],[-153.91936284778484,66.62916135506352],[-153.9194633292022,66.62917032816793],[-153.9195749939911,66.62917491143635],[-153.91968682066553,66.6291704890554],[-153.91978722755428,66.62916157622007],[-153.91988787496422,66.6291437699962],[-153.91997728778495,66.6291215063762],[-153.92006667690617,66.62909020411507],[-153.92013391229918,66.6290589795682],[-153.9201897022246,66.62901884110919],[-153.92022355153907,66.62897862197843],[-153.92024590025306,66.62893841530305],[-153.92025719985446,66.62889378436118]]]}"
00000000000000000010,,,,,,,0.5921016310141377,-0.4846476480479373,,,,,0.06943106287353011,0.12672809812407493,,,,,0.12712166173735404,-0.09573307317690205,,,,,,,0.1170938516842341,-0.05696216366304804,30.0,HOG,2016.0,1467788400000,17.0,M,Poor imagery,26,17.0,17,2827.43338823,188.495559215,"{""type"":""Polygon"",""coordinates"":[[[-153.92083761839783,66.62902806558077],[-153.92082641878417,66.6289878699659],[-153.92079306786016,66.62894313722134],[-153.92074861288418,66.62890290658304],[-153.92068155343296,66.62886719053807],[-153.92061481160425,66.6288358518222],[-153.9205254909839,66.62881345120621],[-153.92042504062934,66.62879112905755],[-153.9203246416706,66.62877765394278],[-153.92021295324648,66.62876864778912],[-153.92011241820987,66.62876860161553],[-153.9200006191334,66.62877744793437],[-153.91990013296373,66.62879086372004],[-153.9197995124505,66.62881309350847],[-153.91970999394363,66.62883543622148],[-153.9196429437372,66.6288666935558],[-153.9195759188629,66.62890237440942],[-153.91953104504853,66.62894259257688],[-153.91949740537734,66.62898726808736],[-153.91948618540064,66.62902739618036],[-153.9194973020529,66.6290720946576],[-153.91950820796126,66.62911233656006],[-153.91955287247873,66.6291570242002],[-153.9196084308911,66.6291927532434],[-153.9196753836172,66.62922854908192],[-153.91975341550855,66.62925541931317],[-153.9198428438432,66.62927774127684],[-153.91994316383693,66.62929571958661],[-153.9200549610819,66.62930464679722],[-153.92016662623834,66.629309229575],[-153.92026724418733,66.62930477295865],[-153.92037885998568,66.62929589340943],[-153.92047950721488,66.62927808672666],[-153.92056873443588,66.62925578967086],[-153.9206470187095,66.62922898909082],[-153.92071422784886,66.62919334066859],[-153.9207700427066,66.62915762549675],[-153.92081488894706,66.62911298329662],[-153.92083752854606,66.62907273029316],[-153.92083761839783,66.62902806558077]]]}"
