"","Incid_Name","Burn_Type","Type","Percent"
"1","Hog Fire","Mild Burn","Beaver Ponds",56.047635296531
"2","Hog Fire","Mild Burn","Control Sites",65.6560737657409
"3","Hog Fire","Mild Burn","Entire Fire",4.98638378909836
"4","Hog Fire","Moderate Burn","Beaver Ponds",40.7373967369058
"5","Hog Fire","Moderate Burn","Control Sites",30.8723316443645
"6","Hog Fire","Moderate Burn","Entire Fire",35.7156934626805
"7","Hog Fire","Severe Burn","Beaver Ponds",0.330756582338883
"8","Hog Fire","Severe Burn","Control Sites",1.66177015189689
"9","Hog Fire","Severe Burn","Entire Fire",27.7151115496532
"10","Hog Fire","Unburned","Beaver Ponds",2.88421150604394
"11","Hog Fire","Unburned","Control Sites",1.80540670313971
"12","Hog Fire","Unburned","Entire Fire",2.46383080444345
"13","Hogatza River Fire","Mild Burn","Beaver Ponds",64.9539797788685
"14","Hogatza River Fire","Mild Burn","Control Sites",55.5745086016316
"15","Hogatza River Fire","Mild Burn","Entire Fire",7.94347057606467
"16","Hogatza River Fire","Moderate Burn","Beaver Ponds",18.3576210906035
"17","Hogatza River Fire","Moderate Burn","Control Sites",14.6310625761033
"18","Hogatza River Fire","Moderate Burn","Entire Fire",32.8001363886448
"19","Hogatza River Fire","Severe Burn","Beaver Ponds",0.837781216455001
"20","Hogatza River Fire","Severe Burn","Control Sites",0
"21","Hogatza River Fire","Severe Burn","Entire Fire",33.1237274511089
"22","Hogatza River Fire","Unburned","Beaver Ponds",15.4079340399963
"23","Hogatza River Fire","Unburned","Control Sites",29.7900110313648
"24","Hogatza River Fire","Unburned","Entire Fire",3.89612665147622
"25","Hurst Creek Fire","Mild Burn","Beaver Ponds",29.8850827829585
"26","Hurst Creek Fire","Mild Burn","Control Sites",46.8555152653665
"27","Hurst Creek Fire","Mild Burn","Entire Fire",7.02547671871413
"28","Hurst Creek Fire","Moderate Burn","Beaver Ponds",2.28078916243605
"29","Hurst Creek Fire","Moderate Burn","Control Sites",0.303212596130251
"30","Hurst Creek Fire","Moderate Burn","Entire Fire",32.4166238232884
"31","Hurst Creek Fire","Severe Burn","Beaver Ponds",0.0767848110886695
"32","Hurst Creek Fire","Severe Burn","Control Sites",0
"33","Hurst Creek Fire","Severe Burn","Entire Fire",11.6478520512296
"34","Hurst Creek Fire","Unburned","Beaver Ponds",31.5748357681291
"35","Hurst Creek Fire","Unburned","Control Sites",23.0728244137024
"36","Hurst Creek Fire","Unburned","Entire Fire",3.97360562227678
"37","Iniakuk Lake Fire","Mild Burn","Beaver Ponds",53.2858669207041
"38","Iniakuk Lake Fire","Mild Burn","Control Sites",42.5611637560809
"39","Iniakuk Lake Fire","Mild Burn","Entire Fire",6.3293721973784
"40","Iniakuk Lake Fire","Moderate Burn","Beaver Ponds",6.9629401839094
"41","Iniakuk Lake Fire","Moderate Burn","Control Sites",0
"42","Iniakuk Lake Fire","Moderate Burn","Entire Fire",44.4281100369774
"43","Iniakuk Lake Fire","Severe Burn","Beaver Ponds",0
"44","Iniakuk Lake Fire","Severe Burn","Control Sites",0
"45","Iniakuk Lake Fire","Severe Burn","Entire Fire",10.5663598968341
"46","Iniakuk Lake Fire","Unburned","Beaver Ponds",36.5460381238721
"47","Iniakuk Lake Fire","Unburned","Control Sites",39.9413395112295
"48","Iniakuk Lake Fire","Unburned","Entire Fire",3.06094071190365
"49","Little Mud River Fire","Mild Burn","Beaver Ponds",16.2174252197696
"50","Little Mud River Fire","Mild Burn","Control Sites",9.58681399084473
"51","Little Mud River Fire","Mild Burn","Entire Fire",5.56825467814946
"52","Little Mud River Fire","Moderate Burn","Beaver Ponds",47.4913328349395
"53","Little Mud River Fire","Moderate Burn","Control Sites",47.1050577379169
"54","Little Mud River Fire","Moderate Burn","Entire Fire",62.942908095417
"55","Little Mud River Fire","Severe Burn","Beaver Ponds",36.2912421965631
"56","Little Mud River Fire","Severe Burn","Control Sites",43.3037109960108
"57","Little Mud River Fire","Severe Burn","Entire Fire",6.86162536865107
"58","Little Mud River Fire","Unburned","Beaver Ponds",0
"59","Little Mud River Fire","Unburned","Control Sites",0
"60","Little Mud River Fire","Unburned","Entire Fire",2.94369034451126
"61","Munson Creek Fire","Mild Burn","Beaver Ponds",53.9220278018317
