"","Dataset","row_date","Date","DOY","t_ndvi_data","Point","NDVI"
"1","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X1",0.236475007898599
"2","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X2",0.19922636899325
"3","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X3",0.243437130489057
"4","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X4",0.232806184757853
"5","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X5",0.237660701614448
"6","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X6",0.22829095489432
"7","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X7",NA
"8","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X8",NA
"9","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X9",NA
"10","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X10",NA
"11","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X11",NA
"12","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X12",NA
"13","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X13",NA
"14","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X14",NA
"15","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X15",NA
"16","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X16",NA
"17","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X17",NA
"18","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X18",NA
"19","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X19",NA
"20","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X20",NA
"21","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X21",NA
"22","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X22",NA
"23","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X23",NA
"24","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X24",NA
"25","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X25",NA
"26","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X26",NA
"27","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X27",NA
"28","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X28",NA
"29","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X29",NA
"30","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X30",NA
"31","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X31",NA
"32","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X32",NA
"33","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X33",NA
"34","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X34",NA
"35","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X35",NA
"36","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X36",NA
"37","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X37",NA
"38","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X38",NA
"39","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X39",NA
"40","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X40",NA
"41","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X41",NA
"42","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X42",NA
"43","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X43",NA
"44","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X44",NA
"45","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X45",NA
"46","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X46",NA
"47","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X47",NA
"48","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X48",NA
"49","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X49",NA
"50","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X50",NA
"51","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X51",NA
"52","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X52",NA
"53","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X53",NA
"54","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X54",NA
"55","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X55",NA
"56","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X56",NA
"57","1","X2016_06_04_ndvi",2016-06-04,156,NA,"X57",NA
