OBJECTID,Value,Count
1,-361,1
2,-301,1
3,-224,1
4,-219,1
5,-203,1
6,-201,1
7,-191,1
8,-188,1
9,-175,1
10,-167,1
11,-165,1
12,-157,2
13,-153,1
14,-147,1
15,-136,1
16,-125,1
17,-120,1
18,-116,1
19,-115,2
20,-112,1
21,-108,1
22,-107,2
23,-101,1
24,-100,1
25,-97,1
26,-91,1
27,-89,1
28,-86,1
29,-85,1
30,-83,1
31,-82,2
32,-78,1
33,-76,2
34,-74,3
35,-73,1
36,-69,2
37,-68,1
38,-67,4
39,-63,2
40,-62,2
41,-61,1
42,-60,1
43,-59,1
44,-57,2
45,-56,1
46,-55,1
47,-49,1
48,-46,1
49,-42,2
50,-41,1
51,-40,1
52,-39,1
53,-35,1
54,-34,3
55,-33,2
56,-32,1
57,-30,2
58,-29,1
59,-27,1
60,-26,3
61,-25,1
62,-23,2
63,-19,2
64,-18,2
65,-17,2
66,-15,2
67,-14,1
68,-12,4
69,-9,1
70,-8,1
71,-7,1
72,-5,1
73,-4,1
74,-2,1
75,0,2
76,1,2
77,2,1
78,7,2
79,10,1
80,11,1
81,12,2
82,13,1
83,14,1
84,15,2
85,16,1
86,17,1
87,19,1
88,20,3
89,21,2
90,22,1
91,23,2
92,24,1
93,25,2
94,26,1
95,27,3
96,28,2
97,29,5
98,31,3
99,32,2
100,33,3
101,34,3
102,36,1
103,37,2
104,38,1
105,39,2
106,40,2
107,41,2
108,42,2
109,44,3
110,45,4
111,46,3
112,47,5
113,48,3
114,49,2
115,50,3
116,51,1
117,52,3
118,53,3
119,54,4
120,55,6
121,56,3
122,57,1
123,58,5
124,59,5
125,60,5
126,62,4
127,63,2
128,64,2
129,65,3
130,66,2
131,67,6
132,68,2
133,69,1
134,70,2
135,71,2
136,72,3
137,73,2
138,74,2
139,75,2
140,76,5
141,77,2
142,78,2
143,80,3
144,82,2
145,83,1
146,84,2
147,85,1
148,86,2
149,87,2
150,88,1
151,90,3
152,91,3
153,92,2
154,93,2
155,94,4
156,95,1
157,96,2
158,97,2
159,99,1
160,100,1
161,101,2
162,102,2
163,103,1
164,104,1
165,105,1
166,107,1
167,108,1
168,109,2
169,111,3
170,112,3
171,113,3
172,114,4
173,116,2
174,117,1
175,118,2
176,119,2
177,120,2
178,122,1
179,124,1
180,125,1
181,126,1
182,127,3
183,128,1
184,131,2
185,132,1
186,133,4
187,134,1
188,135,1
189,136,3
190,138,1
191,140,3
192,141,2
193,142,2
194,143,4
195,144,3
196,145,1
197,146,1
198,147,2
199,148,1
200,149,2
201,151,2
202,152,2
203,153,2
204,154,2
205,155,1
206,156,3
207,157,1
208,159,1
209,160,1
210,161,3
211,162,1
212,164,1
213,166,1
214,167,2
215,168,1
216,169,1
217,171,4
218,172,1
219,174,1
220,176,2
221,177,1
222,178,2
223,179,1
224,182,1
225,184,1
226,187,2
227,188,1
228,189,1
229,190,3
230,192,2
231,194,1
232,195,3
233,196,1
234,197,1
235,198,1
236,199,2
237,200,1
238,202,1
239,204,2
240,205,2
241,206,2
242,207,2
243,208,2
244,209,3
245,210,1
246,211,1
247,212,1
248,214,2
249,215,3
250,216,2
251,218,1
252,220,1
253,221,1
254,224,2
255,226,1
256,227,1
257,232,3
258,233,2
259,236,2
260,237,1
261,238,1
262,239,2
263,240,1
264,241,1
265,242,1
266,243,1
267,244,1
268,246,1
269,249,1
270,250,2
271,251,1
272,253,1
273,255,6
274,256,2
275,257,1
276,258,2
277,260,4
278,261,2
279,262,1
280,263,1
281,265,1
282,266,1
283,270,1
284,271,3
285,273,1
286,275,1
287,276,1
288,277,4
289,278,1
290,279,2
291,280,1
292,281,2
293,282,1
294,283,1
295,285,1
296,286,1
297,287,3
298,290,1
299,291,1
300,292,1
301,294,1
302,295,1
303,297,2
304,298,2
305,299,1
306,300,2
307,302,1
308,304,3
309,305,1
310,306,1
311,307,1
312,309,1
313,310,2
314,311,1
315,312,1
316,314,1
317,315,3
318,318,2
319,319,1
320,320,2
321,321,2
322,322,1
323,323,1
324,324,1
325,325,1
326,326,2
327,327,2
328,328,1
329,329,1
330,338,1
331,339,1
332,340,1
333,341,2
334,342,3
335,343,1
336,347,2
337,348,3
338,351,1
339,353,2
340,354,1
341,355,2
342,358,1
343,359,1
344,360,4
345,362,1
346,363,1
347,364,1
348,365,1
349,366,1
350,367,1
351,369,1
352,370,2
353,371,2
354,372,1
355,375,1
356,376,1
357,379,1
358,382,3
359,385,2
360,388,2
361,389,3
362,391,1
363,392,2
364,393,2
365,400,1
366,402,2
367,403,2
368,406,1
369,407,1
370,408,3
371,409,1
372,410,1
373,413,3
374,414,1
375,415,4
376,418,1
377,420,1
378,421,4
379,422,1
380,424,2
381,425,1
382,426,4
383,428,2
384,429,1
385,431,2
386,432,2
387,435,2
388,437,2
389,438,1
390,441,2
391,444,1
392,445,1
393,446,2
394,447,1
395,448,1
396,449,2
397,450,1
398,453,2
399,455,3
400,457,1
401,458,3
402,461,1
403,463,1
404,464,1
405,469,2
406,471,1
407,472,1
408,474,2
409,476,1
410,477,1
411,478,2
412,480,1
413,484,2
414,485,1
415,487,1
416,492,1
417,495,1
418,496,1
419,505,1
420,514,1
421,515,1
422,517,2
423,524,1
424,543,1
