OBJECTID,Value,Count
1,-474,2
2,-461,1
3,-458,1
4,-455,1
5,-451,1
6,-449,1
7,-448,1
8,-447,1
9,-444,1
10,-443,1
11,-442,1
12,-441,1
13,-440,2
14,-436,2
15,-435,1
16,-431,1
17,-430,1
18,-429,2
19,-428,1
20,-420,1
21,-419,3
22,-418,1
23,-416,1
24,-415,1
25,-413,2
26,-411,1
27,-410,1
28,-405,1
29,-403,2
30,-402,4
31,-401,1
32,-399,1
33,-396,2
34,-394,1
35,-392,1
36,-390,1
37,-387,1
38,-385,1
39,-384,1
40,-383,1
41,-382,2
42,-377,1
43,-374,1
44,-373,1
45,-372,2
46,-368,1
47,-367,1
48,-365,2
49,-364,2
50,-361,2
51,-358,1
52,-357,1
53,-356,1
54,-354,2
55,-352,2
56,-351,1
57,-350,1
58,-349,1
59,-347,1
60,-346,2
61,-344,1
62,-341,1
63,-339,1
64,-338,1
65,-337,1
66,-336,2
67,-335,2
68,-334,2
69,-333,2
70,-332,2
71,-331,2
72,-330,1
73,-327,1
74,-325,3
75,-323,3
76,-318,1
77,-315,3
78,-312,1
79,-311,2
80,-308,1
81,-307,1
82,-306,1
83,-305,1
84,-304,1
85,-302,1
86,-301,2
87,-299,1
88,-297,2
89,-296,2
90,-295,2
91,-292,2
92,-291,1
93,-290,1
94,-289,2
95,-288,1
96,-287,2
97,-286,3
98,-285,4
99,-283,4
100,-282,2
101,-281,3
102,-280,3
103,-278,4
104,-277,1
105,-276,1
106,-275,2
107,-274,2
108,-272,2
109,-268,3
110,-266,3
111,-265,1
112,-263,2
113,-259,2
114,-258,1
115,-257,3
116,-254,1
117,-251,1
118,-250,2
119,-249,2
120,-247,4
121,-246,1
122,-245,2
123,-244,2
124,-241,2
125,-240,4
126,-238,2
127,-237,1
128,-235,3
129,-234,2
130,-233,1
131,-232,1
132,-231,5
133,-230,3
134,-229,1
135,-228,2
136,-226,2
137,-225,1
138,-224,3
139,-221,1
140,-220,2
141,-219,2
142,-218,1
143,-217,2
144,-216,2
145,-214,2
146,-211,1
147,-210,1
148,-208,1
149,-207,2
150,-206,1
151,-205,1
152,-204,1
153,-201,2
154,-200,2
155,-199,1
156,-198,1
157,-197,3
158,-196,4
159,-195,1
160,-194,1
161,-193,4
162,-192,2
163,-190,1
164,-189,1
165,-188,3
166,-187,1
167,-185,3
168,-184,1
169,-183,2
170,-182,1
171,-181,1
172,-180,1
173,-178,3
174,-177,2
175,-176,1
176,-175,1
177,-174,2
178,-173,1
179,-172,2
180,-170,1
181,-169,1
182,-168,5
183,-167,3
184,-166,1
185,-165,1
186,-164,1
187,-163,2
188,-161,2
189,-160,2
190,-159,2
191,-155,2
192,-154,2
193,-153,2
194,-152,3
195,-151,2
196,-150,1
197,-149,4
198,-147,3
199,-146,1
200,-144,1
201,-143,3
202,-142,1
203,-141,4
204,-140,1
205,-138,2
206,-137,2
207,-136,2
208,-135,5
209,-134,3
210,-133,1
211,-132,7
212,-131,2
213,-130,2
214,-128,4
215,-127,3
216,-126,1
217,-125,3
218,-124,1
219,-123,3
220,-122,4
221,-121,2
222,-120,1
223,-119,1
224,-118,1
225,-117,1
226,-116,1
227,-115,1
228,-114,2
229,-113,4
230,-112,1
231,-111,1
232,-109,1
233,-108,1
234,-107,1
235,-106,2
236,-105,2
237,-104,1
238,-103,1
239,-101,4
240,-100,3
241,-99,2
242,-98,1
243,-97,3
244,-96,3
245,-95,4
246,-94,1
247,-93,5
248,-92,1
249,-91,3
250,-90,3
251,-89,3
252,-88,2
253,-87,3
254,-86,2
255,-85,1
256,-84,4
257,-83,3
258,-82,3
259,-81,2
260,-80,5
261,-79,1
262,-78,2
263,-77,5
264,-76,1
265,-75,2
266,-74,2
267,-73,4
268,-72,1
269,-71,4
270,-70,3
271,-69,5
272,-68,1
273,-67,6
274,-66,1
275,-65,3
276,-64,1
277,-63,6
278,-62,3
279,-61,4
280,-60,1
281,-59,2
282,-58,2
283,-57,3
284,-56,4
285,-55,4
286,-54,2
287,-53,3
288,-52,1
289,-51,7
290,-50,4
291,-49,1
292,-48,5
293,-47,3
294,-46,5
295,-45,4
296,-44,4
297,-43,2
298,-42,2
299,-41,4
300,-40,3
301,-39,3
302,-38,3
303,-36,1
304,-35,4
305,-34,1
306,-32,2
307,-30,1
308,-29,3
309,-28,1
310,-27,2
311,-25,4
312,-24,1
313,-23,1
314,-22,1
315,-20,2
316,-19,3
317,-17,2
318,-16,3
319,-15,1
320,-14,1
321,-13,1
322,-12,3
323,-11,3
324,-9,1
325,-8,2
326,-7,3
327,-6,1
328,-5,1
329,-3,2
330,-2,3
331,-1,1
332,0,2
333,1,1
334,2,3
335,3,3
336,4,2
337,6,2
338,8,1
339,9,2
340,10,2
341,11,3
342,12,1
343,13,1
344,14,1
345,15,2
346,18,1
347,19,1
348,20,1
349,21,1
350,23,1
351,25,1
352,26,1
353,27,2
354,29,1
355,30,2
356,33,1
357,34,1
358,39,1
359,44,1
360,45,1
361,47,1
362,49,1
363,51,1
364,53,1
365,55,1
366,58,1
367,62,1
368,65,1
369,67,1
370,68,1
371,71,1
372,77,1
373,91,1
374,95,1
375,114,1
376,123,1
377,142,1
378,159,1
379,160,1
380,179,1
381,191,1
382,193,1
383,194,1
384,255,1
